Geography,Total Population,Male,Female,Median age (years),Male Median age (years),Female Median age (years),Average Household size*,Average Family size*,Persons Under 5 years,Persons Under 18 years,Persons Age 21+,Persons Age 55+,Persons Age 60+,Persons Age 65+,Percent Population Female,Percent Population Less than 18,,Geoid,
Pacheco CDP,"4,183","2,020","2,163",41.7,40.5,42.8,N/A,N/A,220,837,"3,204","1,375","1,067",720,51.7%,20.0%,,1600000US0654764,
Pinole city,"19,022","9,061","9,961",43.8,41.9,46.2,N/A,N/A,847,"3,396","15,064","6,946","5,485","4,068",52.4%,17.9%,,1600000US0657288,
Pittsburg city,"76,416","37,209","39,207",35.7,34.6,37.0,N/A,N/A,"4,734","18,515","54,728","18,954","14,177","9,586",51.3%,24.2%,,1600000US0657456,
Pleasant Hill city,"34,613","16,693","17,920",41.7,40.0,43.6,N/A,N/A,"1,978","6,735","26,733","11,418","8,972","6,622",51.8%,19.5%,,1600000US0657764,
Port Costa CDP,190,91,99,50.5,50.6,50.4,N/A,N/A,3,18,168,77,58,47,52.1%,9.5%,,1600000US0658226,
Reliez Valley CDP,"3,354","1,639","1,715",51.0,49.4,52.3,N/A,N/A,157,669,"2,586","1,475","1,214",932,51.1%,19.9%,,1600000US0660279,
Richmond city,"116,448","57,132","59,316",36.9,35.7,38.2,N/A,N/A,"6,643","25,816","86,206","29,649","22,483","15,859",50.9%,22.2%,,1600000US0660620,
Rodeo CDP,"9,653","4,711","4,942",39.3,37.4,40.4,N/A,N/A,505,"2,136","7,136","2,875","2,204","1,563",51.2%,22.1%,,1600000US0662490,
Rollingwood CDP,"3,015","1,514","1,501",34.4,33.2,35.6,N/A,N/A,163,709,"2,155",681,472,314,49.8%,23.5%,,1600000US0662700,
San Miguel CDP,"3,591","1,743","1,848",47.6,47.7,47.4,N/A,N/A,191,812,"2,664","1,411","1,104",792,51.5%,22.6%,,1600000US0668263,
San Pablo city,"32,127","15,986","16,141",34.7,33.6,35.7,N/A,N/A,"1,917","7,959","22,679","7,124","5,264","3,689",50.2%,24.8%,,1600000US0668294,
San Ramon city,"84,605","41,595","43,010",39.9,39.4,40.4,N/A,N/A,"3,891","23,108","58,209","19,029","13,478","9,517",50.8%,27.3%,,1600000US0668378,
Saranap CDP,"5,830","2,811","3,019",43.1,41.8,43.8,N/A,N/A,307,"1,261","4,393","1,891","1,460","1,097",51.8%,21.6%,,1600000US0670266,
Shell Ridge CDP,"1,014",507,507,49.4,49.1,51.1,N/A,N/A,47,239,755,424,327,243,50.0%,23.6%,,1600000US0671362,
Tara Hills CDP,"5,364","2,600","2,764",39.2,37.2,40.8,N/A,N/A,269,"1,109","4,050","1,598","1,184",836,51.5%,20.7%,,1600000US0677924,
Vine Hill CDP,"4,323","2,158","2,165",37.7,37.3,38.1,N/A,N/A,271,"1,030","3,148","1,043",801,537,50.1%,23.8%,,1600000US0682842,
Walnut Creek city,"70,127","32,415","37,712",47.5,44.1,50.6,N/A,N/A,"3,285","11,889","56,694","29,056","24,706","20,386",53.8%,17.0%,,1600000US0683346,
Del Norte County,"27,743","15,035","12,708",40.2,38.4,43.4,N/A,N/A,"1,412","5,691","21,274","9,270","7,269","5,241",45.8%,20.5%,,0500000US06015,
Bertsch-Oceanview CDP,"2,520","1,219","1,301",40.0,38.8,40.6,N/A,N/A,150,610,"1,823",804,622,449,51.6%,24.2%,,1600000US0606150,
Crescent City city,"6,673","4,614","2,059",35.2,34.3,38.3,N/A,N/A,273,998,"5,539","1,403","1,007",672,30.9%,15.0%,,1600000US0617022,
Fort Dick CDP,912,436,476,46.0,45.1,47.4,N/A,N/A,50,185,707,375,304,211,52.2%,20.3%,,1600000US0625086,
Gasquet CDP,657,306,351,59.7,61.7,58.9,N/A,N/A,15,91,559,379,324,247,53.4%,13.9%,,1600000US0629154,
Hiouchi CDP,314,155,159,56.3,54.8,57.3,N/A,N/A,9,38,268,162,132,102,50.6%,12.1%,,1600000US0633935,
Klamath CDP,"1,088",541,547,42.4,40.0,48.4,N/A,N/A,66,256,795,431,339,246,50.3%,23.5%,,1600000US0638702,
Smith River CDP,906,464,442,38.9,37.8,40.8,N/A,N/A,56,225,656,291,205,150,48.8%,24.8%,,1600000US0672380,
El Dorado County,"191,185","94,829","96,356",46.3,45.3,47.4,N/A,N/A,"8,523","39,102","146,173","74,409","58,985","42,658",50.4%,20.5%,,0500000US06017,
Auburn Lake Trails CDP,"3,388","1,570","1,818",54.1,54.5,53.4,N/A,N/A,130,580,"2,734","1,641","1,298",956,53.7%,17.1%,,1600000US0603205,
Cameron Park CDP,"18,881","9,079","9,802",43.1,41.4,44.9,N/A,N/A,"1,015","4,135","14,064","6,829","5,424","3,995",51.9%,21.9%,,1600000US0610256,
Camino CDP,"1,871",945,926,55.3,54.5,56.3,N/A,N/A,80,331,"1,506",943,766,597,49.5%,17.7%,,1600000US0610270,
