Geography,Total Population,Male,Female,Median age (years),Male Median age (years),Female Median age (years),Average Household size*,Average Family size*,Persons Under 5 years,Persons Under 18 years,Persons Age 21+,Persons Age 55+,Persons Age 60+,Persons Age 65+,Percent Population Female,Percent Population Less than 18,,Geoid,
Cold Springs CDP ,556,283,273,59.5,61.1,54.3,N/A,N/A,19,83,463,299,276,206,49.1%,14.9%,,1600000US0614450,
Coloma CDP,521,263,258,55.9,53.7,56.7,N/A,N/A,17,62,442,264,209,154,49.5%,11.9%,,1600000US0614764,
Diamond Springs CDP,"11,345","5,433","5,912",49.8,46.5,52.8,N/A,N/A,454,"2,049","8,937","5,069","4,204","3,267",52.1%,18.1%,,1600000US0619220,
El Dorado Hills CDP,"50,547","24,705","25,842",45.0,44.5,45.4,N/A,N/A,"2,193","12,606","36,017","17,378","13,271","9,639",51.1%,24.9%,,1600000US0621880,
Georgetown CDP,"2,255","1,191","1,064",50.4,50.8,49.9,N/A,N/A,112,403,"1,794","1,015",823,593,47.2%,17.9%,,1600000US0629350,
Grizzly Flats CDP,"1,093",578,515,51.1,52.0,49.8,N/A,N/A,53,200,871,495,369,274,47.1%,18.3%,,1600000US0631302,
Meyers CDP,"2,163","1,151","1,012",43.5,43.3,44.1,N/A,N/A,115,431,"1,677",737,572,374,46.8%,19.9%,,1600000US0647206,
Placerville city,"10,747","5,049","5,698",43.3,40.7,46.0,N/A,N/A,502,"2,160","8,296","4,066","3,355","2,584",53.0%,20.1%,,1600000US0657540,
Pollock Pines CDP,"7,112","3,562","3,550",46.6,46.0,47.3,N/A,N/A,365,"1,400","5,505","2,859","2,184","1,491",49.9%,19.7%,,1600000US0658030,
Shingle Springs CDP,"4,660","2,233","2,427",47.9,45.0,50.4,N/A,N/A,217,975,"3,513","1,916","1,534","1,167",52.1%,20.9%,,1600000US0671554,
South Lake Tahoe city,"21,330","11,063","10,267",38.1,37.4,38.9,N/A,N/A,"1,007","3,948","16,747","6,129","4,728","3,198",48.1%,18.5%,,1600000US0673108,
Tahoma CDP (part),672,357,315,48.3,48.2,48.8,N/A,N/A,25,107,556,257,180,106,46.9%,15.9%,,1550000US0677728017,
Fresno County,"1,008,654","501,441","507,213",33.3,32.4,34.3,N/A,N/A,"69,464","278,409","685,175","241,728","185,590","133,322",50.3%,27.6%,,0500000US06019,
Auberry CDP,"3,238","1,595","1,643",45.8,43.3,47.5,N/A,N/A,150,715,"2,443","1,314","1,063",767,50.7%,22.1%,,1600000US0603190,
Big Creek CDP,151,73,78,39.5,33.6,43.7,N/A,N/A,5,46,98,41,34,27,51.7%,30.5%,,1600000US0606518,
Biola CDP,"1,427",703,724,26.2,26.6,25.6,N/A,N/A,117,519,834,235,172,115,50.7%,36.4%,,1600000US0606728,
Bowles CDP,158,88,70,55.0,55.0,54.0,N/A,N/A,4,26,130,79,58,39,44.3%,16.5%,,1600000US0607750,
Calwa CDP,"1,776",926,850,29.0,28.9,29.1,N/A,N/A,147,551,"1,128",300,216,143,47.9%,31.0%,,1600000US0610032,
Cantua Creek CDP,500,274,226,29.6,28.0,32.0,N/A,N/A,57,148,331,78,63,51,45.2%,29.6%,,1600000US0610816,
Caruthers CDP,"2,613","1,281","1,332",30.6,29.6,31.6,N/A,N/A,188,835,"1,638",566,436,296,51.0%,32.0%,,1600000US0611614,
Centerville CDP,378,206,172,42.5,43.5,41.5,N/A,N/A,16,85,283,130,104,77,45.5%,22.5%,,1600000US0612412,
Clovis city,"120,124","57,885","62,239",36.1,34.9,37.2,N/A,N/A,"7,573","31,472","83,753","31,308","24,288","17,714",51.8%,26.2%,,1600000US0614218,
Coalinga city,"17,590","10,982","6,608",34.0,34.7,32.4,N/A,N/A,942,"3,880","12,973","3,579","2,515","1,540",37.6%,22.1%,,1600000US0614274,
Del Rey CDP,"1,358",697,661,31.7,30.5,33.6,N/A,N/A,84,356,943,292,213,163,48.7%,26.2%,,1600000US0618674,
Easton CDP,"1,972",972,"1,000",37.4,37.7,37.1,N/A,N/A,115,487,"1,394",631,477,363,50.7%,24.7%,,1600000US0620928,
Firebaugh city,"8,096","4,093","4,003",29.6,28.4,31.3,N/A,N/A,618,"2,552","5,122","1,643","1,162",762,49.4%,31.5%,,1600000US0624134,
Fort Washington CDP,255,125,130,45.1,44.8,45.5,N/A,N/A,18,62,186,108,90,72,51.0%,24.3%,,1600000US0625300,
Fowler city,"6,700","3,297","3,403",34.6,33.3,36.0,N/A,N/A,394,"1,852","4,535","1,563","1,209",834,50.8%,27.6%,,1600000US0625436,
Fresno city,"542,107","266,944","275,163",32.2,31.2,33.3,N/A,N/A,"39,072","150,328","367,438","122,538","93,876","67,347",50.8%,27.7%,,1600000US0627000,
Friant CDP,446,223,223,58.6,56.5,59.1,N/A,N/A,14,45,391,241,210,162,50.0%,10.1%,,1600000US0627014,
Huron city,"6,206","3,160","3,046",28.3,29.0,27.6,N/A,N/A,555,"2,195","3,718","1,065",754,468,49.1%,35.4%,,1600000US0636084,
Kerman city,"16,016","7,872","8,144",30.4,29.3,31.5,N/A,N/A,"1,190","5,072","10,095","3,150","2,390","1,659",50.8%,31.7%,,1600000US0638226,
Kingsburg city,"12,380","5,956","6,424",36.8,35.1,38.4,N/A,N/A,765,"3,207","8,667","3,504","2,728","2,039",51.9%,25.9%,,1600000US0638562,
Lanare CDP,540,281,259,33.7,35.4,31.9,N/A,N/A,46,156,359,127,101,66,48.0%,28.9%,,1600000US0640116,
Laton CDP,"1,622",851,771,32.9,32.1,34.3,N/A,N/A,102,427,"1,098",388,283,205,47.5%,26.3%,,1600000US0640746,
Malaga CDP,884,455,429,32.4,33.7,28.6,N/A,N/A,58,254,573,214,165,106,48.5%,28.7%,,1600000US0645232,
Mayfair CDP,"4,831","2,403","2,428",30.9,30.1,31.9,N/A,N/A,336,"1,450","3,172","1,018",745,526,50.3%,30.0%,,1600000US0646400,
Mendota city,"12,595","6,632","5,963",26.6,27.0,26.1,N/A,N/A,"1,229","4,463","7,400","1,840","1,281",827,47.3%,35.4%,,1600000US0646828,
Millerton CDP,686,353,333,36.4,41.8,31.5,N/A,N/A,47,232,437,163,137,88,48.5%,33.8%,,1600000US0647592,
Minkler CDP,867,427,440,51.8,51.1,52.4,N/A,N/A,34,159,675,399,323,224,50.7%,18.3%,,1600000US0647822,
Monmouth CDP,120,62,58,36.2,37.5,35.7,N/A,N/A,10,24,90,35,31,24,48.3%,20.0%,,1600000US0648592,
Old Fig Garden CDP,"5,477","2,707","2,770",42.4,40.8,44.4,N/A,N/A,254,"1,159","4,142","2,000","1,557","1,169",50.6%,21.2%,,1600000US0653505,
Orange Cove city,"9,649","4,767","4,882",27.0,26.2,27.8,N/A,N/A,818,"3,401","5,710","1,637","1,194",816,50.6%,35.2%,,1600000US0654008,
Parlier city,"14,576","7,375","7,201",28.4,27.3,29.4,N/A,N/A,"1,166","4,926","8,921","2,547","1,806","1,241",49.4%,33.8%,,1600000US0655856,
Raisin City CDP,303,145,158,26.5,24.6,27.0,N/A,N/A,19,96,195,55,51,44,52.1%,31.7%,,1600000US0659290,
Reedley city,"25,227","12,425","12,802",32.4,30.8,34.0,N/A,N/A,"1,641","7,358","16,623","5,821","4,540","3,356",50.7%,29.2%,,1600000US0660242,
Riverdale CDP,"3,477","1,753","1,724",29.8,28.8,30.6,N/A,N/A,281,"1,129","2,172",709,513,351,49.6%,32.5%,,1600000US0661096,
Sanger city,"26,617","13,093","13,524",31.9,31.1,32.7,N/A,N/A,"1,839","8,022","17,347","5,544","4,232","3,028",50.8%,30.1%,,1600000US0667056,
San Joaquin city,"3,701","1,811","1,890",26.5,26.5,26.5,N/A,N/A,295,"1,327","2,147",600,418,291,51.1%,35.9%,,1600000US0667126,
Selma city,"24,674","12,181","12,493",31.9,30.9,32.9,N/A,N/A,"1,781","7,207","16,229","5,503","4,146","3,046",50.6%,29.2%,,1600000US0670882,
Shaver Lake CDP,580,329,251,60.6,60.4,60.7,N/A,N/A,16,73,492,363,298,232,43.3%,12.6%,,1600000US0671246,
Squaw Valley CDP,"3,564","1,898","1,666",49.7,50.1,48.7,N/A,N/A,175,677,"2,786","1,527","1,216",865,46.7%,19.0%,,1600000US0673794,
Sunnyside CDP,"4,627","2,236","2,391",40.4,38.8,42.2,N/A,N/A,259,"1,112","3,344","1,580","1,276",962,51.7%,24.0%,,1600000US0675994,
Tarpey Village CDP,"3,997","1,976","2,021",36.6,35.4,38.4,N/A,N/A,241,"1,019","2,820","1,210",950,679,50.6%,25.5%,,1600000US0677960,
Three Rocks CDP,248,128,120,35.0,41.0,26.2,N/A,N/A,22,71,159,41,29,15,48.4%,28.6%,,1600000US0678652,
Tranquillity CDP,805,407,398,30.5,29.6,31.5,N/A,N/A,64,253,522,191,151,112,49.4%,31.4%,,1600000US0680266,
West Park CDP,"1,053",547,506,35.0,35.2,34.0,N/A,N/A,77,296,698,274,215,156,48.1%,28.1%,,1600000US0684680,
Westside CDP,143,93,50,34.3,37.1,27.0,N/A,N/A,13,45,92,16,8,1,35.0%,31.5%,,1600000US0684863,
Glenn County,"28,917","14,488","14,429",37.5,36.4,38.7,N/A,N/A,"1,844","7,453","20,378","8,702","6,816","4,975",49.9%,25.8%,,0500000US06021,
Artois CDP,295,151,144,34.3,38.1,29.0,N/A,N/A,13,88,195,90,74,52,48.8%,29.8%,,1600000US0602910,
Elk Creek CDP,138,73,65,61.1,65.2,57.1,N/A,N/A,2,23,115,93,73,52,47.1%,16.7%,,1600000US0622006,
Hamilton City CDP,"2,263","1,180","1,083",34.5,32.8,35.7,N/A,N/A,120,613,"1,515",552,415,304,47.9%,27.1%,,1600000US0631890,
Orland city,"8,298","4,017","4,281",34.4,33.3,35.4,N/A,N/A,645,"2,304","5,654","2,174","1,686","1,247",51.6%,27.8%,,1600000US0654274,
Willows city,"6,293","3,118","3,175",35.8,34.5,37.6,N/A,N/A,392,"1,639","4,437","1,849","1,443","1,051",50.5%,26.0%,,1600000US0685684,
Humboldt County,"136,463","67,754","68,709",39.1,38.3,39.9,N/A,N/A,"6,678","26,654","103,999","43,483","35,242","26,122",50.3%,19.5%,,0500000US06023,
Alderpoint CDP,137,75,62,40.3,40.5,37.5,N/A,N/A,11,27,108,47,34,28,45.3%,19.7%,,1600000US0600786,
Arcata city,"18,857","9,231","9,626",28.5,29.0,28.0,N/A,N/A,630,"2,499","14,168","3,804","3,025","2,211",51.0%,13.3%,,1600000US0602476,
Bayview CDP ,"2,619","1,278","1,341",37.2,36.5,37.9,N/A,N/A,142,586,"1,952",718,551,397,51.2%,22.4%,,1600000US0604478,
Benbow CDP,422,214,208,41.7,42.5,40.4,N/A,N/A,10,87,328,139,107,79,49.3%,20.6%,,1600000US0605262,
Big Lagoon CDP,161,76,85,54.3,51.3,60.3,N/A,N/A,9,30,128,79,68,52,52.8%,18.6%,,1600000US0606567,
Blue Lake city,"1,208",559,649,43.6,42.1,45.2,N/A,N/A,62,229,957,454,362,246,53.7%,19.0%,,1600000US0607162,
Cutten CDP,"3,223","1,554","1,669",39.4,37.5,40.9,N/A,N/A,161,680,"2,427","1,057",875,667,51.8%,21.1%,,1600000US0617722,
Eureka city,"26,512","13,237","13,275",38.6,37.7,39.5,N/A,N/A,"1,410","5,153","20,496","7,965","6,406","4,720",50.1%,19.4%,,1600000US0623042,
Fairhaven CDP,165,92,73,38.9,38.3,40.3,N/A,N/A,12,22,138,42,33,24,44.2%,13.3%,,1600000US0623196,
Ferndale city,"1,398",663,735,48.9,44.7,51.9,N/A,N/A,58,252,"1,090",610,508,406,52.6%,18.0%,,1600000US0623910,
Fieldbrook CDP,827,408,419,51.6,52.8,51.2,N/A,N/A,38,145,664,386,335,248,50.7%,17.5%,,1600000US0624008,
Fields Landing CDP,287,153,134,35.7,37.2,35.0,N/A,N/A,15,60,216,92,66,41,46.7%,20.9%,,1600000US0624022,
Fortuna city,"12,516","6,087","6,429",39.6,37.5,41.6,N/A,N/A,761,"2,920","9,163","4,171","3,385","2,554",51.4%,23.3%,,1600000US0625296,
Garberville CDP,818,407,411,43.4,43.2,43.9,N/A,N/A,35,135,675,295,228,181,50.2%,16.5%,,1600000US0628154,
Hoopa CDP,"3,167","1,525","1,642",31.4,29.2,33.5,N/A,N/A,227,"1,014","2,003",718,544,372,51.8%,32.0%,,1600000US0634540,
Humboldt Hill CDP,"3,498","1,720","1,778",41.1,39.9,42.1,N/A,N/A,194,670,"2,630","1,237",975,755,50.8%,19.2%,,1600000US0634928,
Hydesville CDP,"1,244",626,618,44.1,40.4,46.7,N/A,N/A,69,300,914,489,411,296,49.7%,24.1%,,1600000US0636126,
Indianola CDP,791,387,404,49.3,48.1,51.6,N/A,N/A,36,167,598,298,235,176,51.1%,21.1%,,1600000US0636420,
Kep'el CDP,76,37,39,42.0,42.5,37.5,N/A,N/A,6,21,51,27,22,17,51.3%,27.6%,,1600000US0638177,
Loleta CDP,828,394,434,41.5,43.0,41.1,N/A,N/A,30,173,626,293,227,172,52.4%,20.9%,,1600000US0642328,
McKinleyville CDP,"16,262","7,935","8,327",39.6,38.7,40.4,N/A,N/A,809,"3,480","12,297","4,977","3,972","2,858",51.2%,21.4%,,1600000US0644910,
Manila CDP,798,423,375,39.4,40.5,37.1,N/A,N/A,36,123,653,251,197,148,47.0%,15.4%,,1600000US0645414,
Miranda CDP,441,212,229,39.9,39.0,40.3,N/A,N/A,16,83,339,141,99,73,51.9%,18.8%,,1600000US0648060,
Myers Flat CDP,90,41,49,48.5,39.8,52.5,N/A,N/A,5,11,79,41,38,17,54.4%,12.2%,,1600000US0650146,
Myrtletown CDP,"4,882","2,306","2,576",40.5,40.0,41.5,N/A,N/A,271,"1,026","3,759","1,676","1,424","1,087",52.8%,21.0%,,1600000US0650188,
Orick CDP,328,158,170,49.3,52.0,46.5,N/A,N/A,5,44,273,140,117,76,51.8%,13.4%,,1600000US0654218,
Phillipsville CDP,124,69,55,54.5,57.6,44.5,N/A,N/A,4,13,109,62,45,24,44.4%,10.5%,,1600000US0656854,
Pine Hills CDP,"3,186","1,579","1,607",42.7,41.1,44.7,N/A,N/A,144,636,"2,451","1,172",991,774,50.4%,20.0%,,1600000US0657204,
Redcrest CDP,61,33,28,39.8,40.5,39.5,N/A,N/A,1,13,46,22,20,12,45.9%,21.3%,,1600000US0659906,
Redway CDP,"1,247",617,630,42.1,41.5,42.3,N/A,N/A,63,256,968,429,341,248,50.5%,20.5%,,1600000US0660088,
Rio Dell city,"3,379","1,684","1,695",38.0,37.5,38.7,N/A,N/A,217,764,"2,495","1,022",817,617,50.2%,22.6%,,1600000US0660900,
Samoa CDP,229,131,98,32.1,33.1,30.7,N/A,N/A,14,50,168,41,34,24,42.8%,21.8%,,1600000US0664392,
Scotia CDP,681,361,320,30.9,28.3,34.3,N/A,N/A,69,222,443,154,105,61,47.0%,32.6%,,1600000US0670518,
Shelter Cove CDP,803,437,366,48.8,47.3,52.0,N/A,N/A,37,112,677,333,284,210,45.6%,13.9%,,1600000US0671372,
Trinidad city,307,151,156,58.3,58.1,58.7,N/A,N/A,8,37,269,165,138,109,50.8%,12.1%,,1600000US0680448,
Wautec CDP,48,34,14,44.5,47.0,33.0,N/A,N/A,0,12,36,17,14,8,29.2%,25.0%,,1600000US0683730,
Weitchpec CDP,112,60,52,32.3,39.5,24.0,N/A,N/A,8,19,84,33,24,16,46.4%,17.0%,,1600000US0683906,
Weott CDP,219,126,93,41.8,42.6,37.2,N/A,N/A,5,47,170,76,61,36,42.5%,21.5%,,1600000US0684004,
Westhaven-Moonstone CDP,"1,187",586,601,48.3,46.0,52.1,N/A,N/A,42,206,942,483,404,306,50.6%,17.4%,,1600000US0684385,
Willow Creek CDP,"1,720",902,818,47.5,47.1,49.0,N/A,N/A,62,347,"1,342",721,594,452,47.6%,20.2%,,1600000US0685642,
Imperial County,"179,702","90,121","89,581",34.6,33.1,36.3,N/A,N/A,"10,762","47,502","124,362","45,369","34,747","24,493",49.8%,26.4%,,0500000US06025,
Bombay Beach CDP,231,119,112,60.2,58.5,61.4,N/A,N/A,4,22,204,140,116,94,48.5%,9.5%,,1600000US0607372,
Brawley city,"26,416","12,730","13,686",32.7,30.8,34.3,N/A,N/A,"1,769","7,826","17,409","6,491","4,931","3,459",51.8%,29.6%,,1600000US0608058,
Calexico city,"38,633","18,034","20,599",36.2,33.6,38.4,N/A,N/A,"2,189","9,946","26,845","10,994","8,529","6,152",53.3%,25.7%,,1600000US0609710,
Calipatria city,"6,515","4,654","1,861",32.0,32.1,31.7,N/A,N/A,289,"1,221","5,105",911,642,407,28.6%,18.7%,,1600000US0609878,
Desert Shores CDP,"1,128",590,538,32.1,31.0,35.3,N/A,N/A,85,316,757,266,183,134,47.7%,28.0%,,1600000US0619024,
El Centro city,"44,322","21,083","23,239",35.0,33.2,36.9,N/A,N/A,"2,703","11,842","30,532","11,817","9,142","6,519",52.4%,26.7%,,1600000US0621782,
El Centro Naval Air Facility CDP,280,156,124,27.0,26.7,31.3,N/A,N/A,32,105,170,60,44,27,44.3%,37.5%,,1600000US0621788,
Heber CDP,"6,896","3,313","3,583",33.1,30.1,34.7,N/A,N/A,430,"2,073","4,456","1,433","1,052",748,52.0%,30.1%,,1600000US0633084,
Holtville city,"5,605","2,696","2,909",36.4,34.8,38.1,N/A,N/A,300,"1,483","3,860","1,620","1,289",939,51.9%,26.5%,,1600000US0634246,
Imperial city,"20,263","9,837","10,426",32.7,31.5,33.8,N/A,N/A,"1,445","6,201","13,195","3,755","2,726","1,820",51.5%,30.6%,,1600000US0636280,
Niland CDP,756,386,370,37.4,37.3,37.5,N/A,N/A,61,206,514,255,193,124,48.9%,27.2%,,1600000US0651392,
Ocotillo CDP,215,132,83,61.7,62.4,60.6,N/A,N/A,13,31,180,124,118,82,38.6%,14.4%,,1600000US0653378,
Palo Verde CDP,152,72,80,62.7,65.0,59.8,N/A,N/A,1,5,146,110,88,68,52.6%,3.3%,,1600000US0655422,
Salton City CDP,"5,155","2,653","2,502",31.3,31.1,31.4,N/A,N/A,420,"1,598","3,339","1,171",904,646,48.5%,31.0%,,1600000US0664294,
Salton Sea Beach CDP,508,252,256,35.8,38.3,35.6,N/A,N/A,29,142,345,168,126,94,50.4%,28.0%,,1600000US0664308,
Seeley CDP,"1,729",842,887,33.2,32.1,34.0,N/A,N/A,97,487,"1,157",459,357,234,51.3%,28.2%,,1600000US0670798,
Westmorland city,"2,014",965,"1,049",32.5,30.5,34.8,N/A,N/A,150,656,"1,283",526,411,282,52.1%,32.6%,,1600000US0684606,
Winterhaven CDP,390,174,216,41.0,40.5,42.0,N/A,N/A,23,103,267,149,126,96,55.4%,26.4%,,1600000US0686020,
Inyo County,"19,016","9,616","9,400",44.8,43.9,45.4,N/A,N/A,939,"3,836","14,695","7,379","6,041","4,512",49.4%,20.2%,,0500000US06027,
Big Pine CDP,"1,875",933,942,41.6,41.6,41.7,N/A,N/A,120,437,"1,397",666,549,400,50.2%,23.3%,,1600000US0606616,
Bishop city,"3,819","1,887","1,932",41.0,40.9,41.5,N/A,N/A,190,754,"2,940","1,278","1,039",745,50.6%,19.7%,,1600000US0606798,
Cartago CDP,62,30,32,53.5,44.0,59.0,N/A,N/A,4,8,52,30,24,18,51.6%,12.9%,,1600000US0611600,
Charleston View CDP,45,30,15,29.8,34.0,29.5,N/A,N/A,2,9,36,11,11,6,33.3%,20.0%,,1600000US0612730,
Darwin CDP,36,25,11,61.5,63.3,50.5,N/A,N/A,0,0,36,25,19,11,30.6%,0.0%,,1600000US0618030,
Dixon Lane-MeadowCreek CDP,"2,780","1,351","1,429",47.2,46.4,47.6,N/A,N/A,144,582,"2,134","1,174","1,000",757,51.4%,20.9%,,1600000US0619406,
Furnace Creek CDP,136,73,63,56.0,57.2,55.8,N/A,N/A,4,10,121,71,54,40,46.3%,7.4%,,1600000US0628021,
Homewood Canyon CDP,40,22,18,55.5,55.5,53.5,N/A,N/A,1,9,31,21,13,9,45.0%,22.5%,,1600000US0634405,
Independence CDP,593,299,294,54.0,54.1,54.0,N/A,N/A,23,96,478,285,233,162,49.6%,16.2%,,1600000US0636350,
Keeler CDP,71,32,39,61.4,59.5,61.9,N/A,N/A,1,5,65,47,39,28,54.9%,7.0%,,1600000US0637918,
Lone Pine CDP,"2,014","1,020",994,46.5,46.9,45.9,N/A,N/A,76,421,"1,548",793,660,511,49.4%,20.9%,,1600000US0642580,
Mesa CDP,275,144,131,50.6,56.0,49.3,N/A,N/A,14,57,214,126,89,65,47.6%,20.7%,,1600000US0647013,
Olancha CDP,131,68,63,57.8,58.5,57.3,N/A,N/A,4,14,116,74,54,46,48.1%,10.7%,,1600000US0653490,
Pearsonville CDP,8,6,2,33.0,40.0,28.0,N/A,N/A,1,2,5,2,2,2,25.0%,25.0%,,1600000US0656294,
Round Valley CDP,482,281,201,36.0,33.7,40.5,N/A,N/A,23,91,377,137,111,84,41.7%,18.9%,,1600000US0663148,
Shoshone CDP,22,18,4,41.5,39.0,61.0,N/A,N/A,3,4,17,10,9,3,18.2%,18.2%,,1600000US0671680,
Tecopa CDP,120,51,69,59.0,64.2,54.9,N/A,N/A,3,4,115,66,57,48,57.5%,3.3%,,1600000US0678050,
Trona CDP,11,7,4,32.8,30.5,58.0,N/A,N/A,0,3,8,5,2,0,36.4%,27.3%,,1600000US0680515,
Valley Wells CDP,0,0,0,-,-,-,N/A,N/A,0,0,0,0,0,0,-,-,,1600000US0681925,
West Bishop CDP,"2,754","1,345","1,409",54.1,53.6,54.4,N/A,N/A,118,521,"2,174","1,344","1,121",890,51.2%,18.9%,,1600000US0684120,
Wilkerson CDP,543,291,252,55.0,54.2,55.6,N/A,N/A,16,84,449,272,232,184,46.4%,15.5%,,1600000US0685551,
Kern County,"909,235","460,227","449,008",32.8,32.1,33.5,N/A,N/A,"63,450","257,496","612,107","206,652","155,267","107,188",49.4%,28.3%,,0500000US06029,
Alta Sierra CDP,103,47,56,60.6,65.1,55.7,N/A,N/A,2,17,85,63,54,33,54.4%,16.5%,,1600000US0601358,
Arvin city,"19,495","9,695","9,800",26.4,25.8,27.2,N/A,N/A,"1,724","6,991","11,395","2,964","2,081","1,372",50.3%,35.9%,,1600000US0602924,
Bakersfield city,"403,455","197,129","206,326",32.4,31.3,33.5,N/A,N/A,"28,498","115,949","269,242","87,803","66,194","46,212",51.1%,28.7%,,1600000US0603526,
Bakersfield Country Club CDP,"1,715",842,873,40.9,40.6,41.1,N/A,N/A,94,430,"1,233",561,454,330,50.9%,25.1%,,1600000US0603546,
Bear Valley Springs CDP,"5,592","2,738","2,854",54.9,54.6,55.1,N/A,N/A,221,"1,047","4,395","2,785","2,254","1,683",51.0%,18.7%,,1600000US0604734,
Benton Park CDP,"5,333","2,683","2,650",31.5,30.0,32.5,N/A,N/A,400,"1,602","3,479","1,174",885,612,49.7%,30.0%,,1600000US0605356,
Bodfish CDP,"2,008","1,060",948,55.4,55.1,55.7,N/A,N/A,70,295,"1,668","1,017",827,583,47.2%,14.7%,,1600000US0607274,
Boron CDP,"2,086","1,068","1,018",39.3,37.3,41.0,N/A,N/A,110,544,"1,453",686,519,344,48.8%,26.1%,,1600000US0607568,
Buttonwillow CDP,"1,337",700,637,28.7,29.1,28.5,N/A,N/A,99,451,814,246,177,94,47.6%,33.7%,,1600000US0609332,
California City city,"14,973","8,507","6,466",34.5,34.1,35.4,N/A,N/A,952,"3,597","10,816","3,649","2,722","1,806",43.2%,24.0%,,1600000US0609780,
Casa Loma CDP,"1,804",932,872,32.8,34.4,29.8,N/A,N/A,122,518,"1,210",425,308,188,48.3%,28.7%,,1600000US0611696,
Cherokee Strip CDP,206,96,110,34.6,35.3,34.3,N/A,N/A,20,65,130,34,21,11,53.4%,31.6%,,1600000US0612860,
China Lake Acres CDP,"1,757",897,860,42.9,43.5,42.1,N/A,N/A,70,374,"1,331",642,478,340,48.9%,21.3%,,1600000US0613157,
Choctaw Valley CDP,237,120,117,51.8,56.3,47.5,N/A,N/A,6,52,176,108,85,55,49.4%,21.9%,,1600000US0613278,
Cottonwood CDP,"3,971","1,883","2,088",23.8,22.1,25.4,N/A,N/A,471,"1,647","2,167",573,429,260,52.6%,41.5%,,1600000US0616623,
Delano city,"51,428","29,615","21,813",31.7,31.8,31.7,N/A,N/A,"3,179","13,361","35,618","9,558","6,837","4,591",42.4%,26.0%,,1600000US0618394,
Derby Acres CDP,301,151,150,40.4,40.5,40.3,N/A,N/A,11,74,216,103,83,64,49.8%,24.6%,,1600000US0618926,
Di Giorgio CDP,400,203,197,18.6,18.5,18.7,N/A,N/A,49,195,191,47,30,17,49.3%,48.8%,,1600000US0619248,
Dustin Acres CDP,677,336,341,44.7,46.2,43.2,N/A,N/A,26,139,529,232,173,130,50.4%,20.5%,,1600000US0620284,
East Bakersfield CDP,"9,749","4,894","4,855",27.8,27.5,28.1,N/A,N/A,857,"3,342","5,943","1,567","1,085",689,49.8%,34.3%,,1600000US0620515,
East Niles CDP,"28,390","13,977","14,413",29.0,28.0,30.3,N/A,N/A,"2,221","9,374","17,587","5,367","3,971","2,763",50.8%,33.0%,,1600000US0620903,
Edison CDP,255,120,135,35.1,34.0,35.6,N/A,N/A,16,74,166,46,37,27,52.9%,29.0%,,1600000US0621544,
Edmundson Acres CDP,296,167,129,28.9,30.8,26.4,N/A,N/A,16,90,192,54,38,26,43.6%,30.4%,,1600000US0621558,
Edwards AFB CDP,"2,135","1,090","1,045",24.4,24.5,24.3,N/A,N/A,364,831,"1,201",45,35,18,48.9%,38.9%,,1600000US0621600,
El Adobe CDP,391,224,167,37.3,30.7,40.9,N/A,N/A,30,101,267,92,71,43,42.7%,25.8%,,1600000US0621691,
Fairfax CDP,"1,879",893,986,32.1,30.0,34.0,N/A,N/A,117,597,"1,180",400,286,189,52.5%,31.8%,,1600000US0623158,
Fellows CDP,52,26,26,57.5,51.0,58.0,N/A,N/A,1,9,43,28,20,14,50.0%,17.3%,,1600000US0623812,
Ford City CDP,"4,348","2,211","2,137",28.3,28.4,28.3,N/A,N/A,380,"1,418","2,695",739,554,377,49.1%,32.6%,,1600000US0624764,
Frazier Park CDP,"2,592","1,296","1,296",41.9,41.6,42.4,N/A,N/A,147,541,"1,974",887,686,449,50.0%,20.9%,,1600000US0625534,
Fuller Acres CDP,917,470,447,33.1,35.7,30.5,N/A,N/A,70,292,590,227,170,99,48.7%,31.8%,,1600000US0627190,
Glennville CDP,158,86,72,58.6,67.0,56.5,N/A,N/A,5,20,137,85,74,58,45.6%,12.7%,,1600000US0630126,
Golden Hills CDP,"9,578","4,783","4,795",38.8,37.3,40.3,N/A,N/A,633,"2,372","6,900","3,116","2,431","1,769",50.1%,24.8%,,1600000US0630282,
Goodmanville CDP,121,44,77,52.5,57.0,49.3,N/A,N/A,7,23,96,58,47,32,63.6%,19.0%,,1600000US0630412,
Greenacres CDP,"5,496","2,763","2,733",39.4,38.2,40.4,N/A,N/A,311,"1,302","4,007","1,757","1,332",966,49.7%,23.7%,,1600000US0630938,
Greenfield CDP,"3,447","1,736","1,711",35.5,36.0,35.1,N/A,N/A,214,915,"2,371",900,697,455,49.6%,26.5%,,1600000US0630987,
Hillcrest CDP,"10,528","5,198","5,330",29.2,28.3,30.3,N/A,N/A,824,"3,419","6,600","1,996","1,414",931,50.6%,32.5%,,1600000US0633689,
Inyokern CDP,988,499,489,51.5,50.4,53.3,N/A,N/A,41,191,773,439,346,228,49.5%,19.3%,,1600000US0636658,
Johannesburg CDP,113,61,52,60.7,60.5,61.5,N/A,N/A,3,9,103,81,60,41,46.0%,8.0%,,1600000US0637400,
Keene CDP,469,236,233,50.6,50.0,50.8,N/A,N/A,22,90,371,196,171,120,49.7%,19.2%,,1600000US0637946,
