Geography,TotalPop,MalePop,FemalePop,MedianAge,MaleMedianAge,FemaleMedianAge,Under5yoPop,Under18yoPop,Pop21andOlder,Pop55andOlder,Pop60andOlder,Pop65andOlder,PercFemale,PercUnder18yo
Brawley city,26416,12730,13686,32.7,30.8,34.3,1769,7826,17409,6491,4931,3459,51.8,29.6
Calexico city,38633,18034,20599,36.2,33.6,38.4,2189,9946,26845,10994,8529,6152,53.3,25.7
Calipatria city,6515,4654,1861,32,32.1,31.7,289,1221,5105,911,642,407,28.6,18.7
Desert Shores CDP,1128,590,538,32.1,31,35.3,85,316,757,266,183,134,47.7,28
El Centro city,44322,21083,23239,35,33.2,36.9,2703,11842,30532,11817,9142,6519,52.4,26.7
El Centro Naval Air Facility CDP,280,156,124,27,26.7,31.3,32,105,170,60,44,27,44.3,37.5
Heber CDP,6896,3313,3583,33.1,30.1,34.7,430,2073,4456,1433,1052,748,52,30.1
Holtville city,5605,2696,2909,36.4,34.8,38.1,300,1483,3860,1620,1289,939,51.9,26.5
Imperial city,20263,9837,10426,32.7,31.5,33.8,1445,6201,13195,3755,2726,1820,51.5,30.6
Niland CDP,756,386,370,37.4,37.3,37.5,61,206,514,255,193,124,48.9,27.2
Ocotillo CDP,215,132,83,61.7,62.4,60.6,13,31,180,124,118,82,38.6,14.4
Palo Verde CDP,152,72,80,62.7,65,59.8,1,5,146,110,88,68,52.6,3.3
Salton City CDP,5155,2653,2502,31.3,31.1,31.4,420,1598,3339,1171,904,646,48.5,31
Salton Sea Beach CDP,508,252,256,35.8,38.3,35.6,29,142,345,168,126,94,50.4,28
Seeley CDP,1729,842,887,33.2,32.1,34,97,487,1157,459,357,234,51.3,28.2
Westmorland city,2014,965,1049,32.5,30.5,34.8,150,656,1283,526,411,282,52.1,32.6
Winterhaven CDP,390,174,216,41,40.5,42,23,103,267,149,126,96,55.4,26.4
Inyo County,19016,9616,9400,44.8,43.9,45.4,939,3836,14695,7379,6041,4512,49.4,20.2
Big Pine CDP,1875,933,942,41.6,41.6,41.7,120,437,1397,666,549,400,50.2,23.3
Bishop city,3819,1887,1932,41,40.9,41.5,190,754,2940,1278,1039,745,50.6,19.7
Cartago CDP,62,30,32,53.5,44,59,4,8,52,30,24,18,51.6,12.9
Charleston View CDP,45,30,15,29.8,34,29.5,2,9,36,11,11,6,33.3,20
Darwin CDP,36,25,11,61.5,63.3,50.5,0,0,36,25,19,11,30.6,0
Dixon Lane-MeadowCreek CDP,2780,1351,1429,47.2,46.4,47.6,144,582,2134,1174,1000,757,51.4,20.9
Furnace Creek CDP,136,73,63,56,57.2,55.8,4,10,121,71,54,40,46.3,7.4
Homewood Canyon CDP,40,22,18,55.5,55.5,53.5,1,9,31,21,13,9,45,22.5
Independence CDP,593,299,294,54,54.1,54,23,96,478,285,233,162,49.6,16.2
Keeler CDP,71,32,39,61.4,59.5,61.9,1,5,65,47,39,28,54.9,7
Lone Pine CDP,2014,1020,994,46.5,46.9,45.9,76,421,1548,793,660,511,49.4,20.9
Mesa CDP,275,144,131,50.6,56,49.3,14,57,214,126,89,65,47.6,20.7
Olancha CDP,131,68,63,57.8,58.5,57.3,4,14,116,74,54,46,48.1,10.7
Pearsonville CDP,8,6,2,33,40,28,1,2,5,2,2,2,25,25
Round Valley CDP,482,281,201,36,33.7,40.5,23,91,377,137,111,84,41.7,18.9
Shoshone CDP,22,18,4,41.5,39,61,3,4,17,10,9,3,18.2,18.2
Tecopa CDP,120,51,69,59,64.2,54.9,3,4,115,66,57,48,57.5,3.3
Trona CDP,11,7,4,32.8,30.5,58,0,3,8,5,2,0,36.4,27.3
Valley Wells CDP,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA
West Bishop CDP,2754,1345,1409,54.1,53.6,54.4,118,521,2174,1344,1121,890,51.2,18.9
Wilkerson CDP,543,291,252,55,54.2,55.6,16,84,449,272,232,184,46.4,15.5
Kern County,909235,460227,449008,32.8,32.1,33.5,63450,257496,612107,206652,155267,107188,49.4,28.3
Alta Sierra CDP,103,47,56,60.6,65.1,55.7,2,17,85,63,54,33,54.4,16.5
Arvin city,19495,9695,9800,26.4,25.8,27.2,1724,6991,11395,2964,2081,1372,50.3,35.9
Bakersfield city,403455,197129,206326,32.4,31.3,33.5,28498,115949,269242,87803,66194,46212,51.1,28.7
Bakersfield Country Club CDP,1715,842,873,40.9,40.6,41.1,94,430,1233,561,454,330,50.9,25.1
Bear Valley Springs CDP,5592,2738,2854,54.9,54.6,55.1,221,1047,4395,2785,2254,1683,51,18.7
Benton Park CDP,5333,2683,2650,31.5,30,32.5,400,1602,3479,1174,885,612,49.7,30
Bodfish CDP,2008,1060,948,55.4,55.1,55.7,70,295,1668,1017,827,583,47.2,14.7
Boron CDP,2086,1068,1018,39.3,37.3,41,110,544,1453,686,519,344,48.8,26.1
Buttonwillow CDP,1337,700,637,28.7,29.1,28.5,99,451,814,246,177,94,47.6,33.7
California City city,14973,8507,6466,34.5,34.1,35.4,952,3597,10816,3649,2722,1806,43.2,24
Casa Loma CDP,1804,932,872,32.8,34.4,29.8,122,518,1210,425,308,188,48.3,28.7
Cherokee Strip CDP,206,96,110,34.6,35.3,34.3,20,65,130,34,21,11,53.4,31.6
China Lake Acres CDP,1757,897,860,42.9,43.5,42.1,70,374,1331,642,478,340,48.9,21.3
Choctaw Valley CDP,237,120,117,51.8,56.3,47.5,6,52,176,108,85,55,49.4,21.9
Cottonwood CDP,3971,1883,2088,23.8,22.1,25.4,471,1647,2167,573,429,260,52.6,41.5
Delano city,51428,29615,21813,31.7,31.8,31.7,3179,13361,35618,9558,6837,4591,42.4,26
Derby Acres CDP,301,151,150,40.4,40.5,40.3,11,74,216,103,83,64,49.8,24.6
Di Giorgio CDP,400,203,197,18.6,18.5,18.7,49,195,191,47,30,17,49.3,48.8
Dustin Acres CDP,677,336,341,44.7,46.2,43.2,26,139,529,232,173,130,50.4,20.5
East Bakersfield CDP,9749,4894,4855,27.8,27.5,28.1,857,3342,5943,1567,1085,689,49.8,34.3
East Niles CDP,28390,13977,14413,29,28,30.3,2221,9374,17587,5367,3971,2763,50.8,33
Edison CDP,255,120,135,35.1,34,35.6,16,74,166,46,37,27,52.9,29
Edmundson Acres CDP,296,167,129,28.9,30.8,26.4,16,90,192,54,38,26,43.6,30.4
Edwards AFB CDP,2135,1090,1045,24.4,24.5,24.3,364,831,1201,45,35,18,48.9,38.9
El Adobe CDP,391,224,167,37.3,30.7,40.9,30,101,267,92,71,43,42.7,25.8
Fairfax CDP,1879,893,986,32.1,30,34,117,597,1180,400,286,189,52.5,31.8
Fellows CDP,52,26,26,57.5,51,58,1,9,43,28,20,14,50,17.3
Ford City CDP,4348,2211,2137,28.3,28.4,28.3,380,1418,2695,739,554,377,49.1,32.6
Frazier Park CDP,2592,1296,1296,41.9,41.6,42.4,147,541,1974,887,686,449,50,20.9
Fuller Acres CDP,917,470,447,33.1,35.7,30.5,70,292,590,227,170,99,48.7,31.8
Glennville CDP,158,86,72,58.6,67,56.5,5,20,137,85,74,58,45.6,12.7
Golden Hills CDP,9578,4783,4795,38.8,37.3,40.3,633,2372,6900,3116,2431,1769,50.1,24.8
Goodmanville CDP,121,44,77,52.5,57,49.3,7,23,96,58,47,32,63.6,19
Greenacres CDP,5496,2763,2733,39.4,38.2,40.4,311,1302,4007,1757,1332,966,49.7,23.7
Greenfield CDP,3447,1736,1711,35.5,36,35.1,214,915,2371,900,697,455,49.6,26.5
Hillcrest CDP,10528,5198,5330,29.2,28.3,30.3,824,3419,6600,1996,1414,931,50.6,32.5
Inyokern CDP,988,499,489,51.5,50.4,53.3,41,191,773,439,346,228,49.5,19.3
Johannesburg CDP,113,61,52,60.7,60.5,61.5,3,9,103,81,60,41,46,8
Keene CDP,469,236,233,50.6,50,50.8,22,90,371,196,171,120,49.7,19.2
Kernville CDP,1549,772,777,58,56.4,59.4,44,220,1303,853,716,554,50.2,14.2
La Cresta CDP,8787,4459,4328,30.3,29.7,30.9,703,2714,5687,1676,1228,803,49.3,30.9
Lake Isabella CDP,3573,1785,1788,45.8,46.1,45.6,222,766,2724,1475,1179,867,50,21.4
Lake of the Woods CDP,790,414,376,50.8,52.4,45,45,159,617,342,262,184,47.6,20.1
Lakeside CDP,843,449,394,44.8,44.4,45.1,43,182,616,289,215,147,46.7,21.6
Lamont CDP,14049,7037,7012,28.1,27.7,28.5,1109,4808,8495,2344,1651,1043,49.9,34.2
Lebec CDP,1239,621,618,44.9,43.6,45.6,67,239,960,465,349,243,49.9,19.3
Lost Hills CDP,2370,1263,1107,26.2,26.8,25.4,180,858,1364,273,200,113,46.7,36.2
McFarland city,14161,7064,7097,27.6,27.3,27.9,1161,4845,8528,2146,1503,965,50.1,34.2
McKittrick CDP,102,62,40,43,43.3,32.5,5,22,76,37,27,17,39.2,21.6
Maricopa city,1026,528,498,37.5,38.7,35.7,93,263,743,326,261,176,48.5,25.6
Mettler CDP,90,50,40,39.2,38.5,39.7,3,24,66,19,12,8,44.4,26.7
Mexican Colony CDP,283,156,127,23.6,23.3,25.5,22,107,154,51,33,21,44.9,37.8
Mojave CDP,4699,2317,2382,32.3,32,32.7,397,1418,3104,1148,843,581,50.7,30.2
Mountain Meadows CDP,303,143,160,48.4,49.5,47.5,8,80,217,127,107,73,52.8,26.4
Mountain Mesa CDP,823,413,410,51.9,54.8,49.9,25,136,665,395,317,222,49.8,16.5
North Edwards CDP,1054,550,504,44.4,43.4,45.6,54,218,805,399,308,223,47.8,20.7
Oildale CDP,36135,17633,18502,32.7,31.6,33.7,2789,10153,24754,8568,6302,4238,51.2,28.1
Olde Stockdale CDP,568,289,279,56.1,55.3,56.5,20,95,450,288,241,178,49.1,16.7
Old River CDP,123,78,45,36.5,31,53.5,8,25,91,31,17,13,36.6,20.3
Old Stine CDP,3841,1899,1942,31.5,30.3,32.4,283,1129,2538,826,643,455,50.6,29.4
Onyx CDP,457,232,225,54.9,52.3,56.3,19,63,383,228,182,128,49.2,13.8
Pine Mountain Club CDP,2422,1225,1197,56.3,57,55.9,93,319,2066,1264,1023,744,49.4,13.2
Potomac Park CDP,9164,4574,4590,28.5,27.6,29.3,716,3028,5685,1656,1238,887,50.1,33
Pumpkin Center CDP,421,215,206,36.1,37.5,35.4,29,108,288,111,88,53,48.9,25.7
Randsburg CDP,45,18,27,64.5,63,69.3,0,4,41,29,28,22,60,8.9
Rexland Acres CDP,3563,1836,1727,28.3,27.3,30.1,257,1184,2193,654,458,311,48.5,33.2
Ridgecrest city,27959,14039,13920,34.7,33.8,35.8,1803,7159,19900,7342,5557,3963,49.8,25.6
Ridgecrest Heights CDP,380,200,180,47,39.4,50,28,100,272,136,105,82,47.4,26.3
Rivergrove CDP,195,107,88,48.5,57.7,31,9,40,147,90,72,42,45.1,20.5
Rosamond CDP,20961,10437,10524,33.2,33,33.3,1588,5873,14398,4960,3525,2158,50.2,28
Rosedale CDP,18639,9319,9320,38.3,38.2,38.4,1068,5075,12771,5177,3837,2531,50,27.2
Shafter city,19953,10146,9807,29,29,29.1,1563,6478,12460,3279,2421,1626,49.2,32.5
Smith Corner CDP,594,265,329,29.2,29.3,28.9,44,203,364,95,68,46,55.4,34.2
South Taft CDP,2100,1084,1016,26.5,25.7,27.2,202,723,1264,350,261,165,48.4,34.4
Squirrel Mountain Valley CDP,760,372,388,57,54.9,59.2,22,122,627,405,348,277,51.1,16.1
Stallion Springs CDP,3139,1561,1578,45.5,45.1,45.8,164,699,2362,1241,989,680,50.3,22.3
Stebbins CDP,1423,728,695,28.3,27.8,29.5,97,467,866,248,170,117,48.8,32.8
Taft city,8546,4941,3605,35.2,35.9,33.6,430,1890,6261,1877,1381,961,42.2,22.1
Taft Heights CDP,1999,1018,981,30.2,29.1,31.6,182,593,1341,409,298,213,49.1,29.7
Tarina CDP,18,13,5,46,54.5,18.5,1,3,14,5,4,3,27.8,16.7
Tehachapi city,12939,8225,4714,37.6,37.8,37.2,594,2490,10083,3066,2259,1562,36.4,19.2
Tupman CDP,177,92,85,33.8,33,34.8,15,54,116,46,38,22,48,30.5
Valley Acres CDP,504,281,223,32.4,27.9,39.1,35,139,346,114,96,51,44.2,27.6
Wasco city,27047,15583,11464,29.5,30,28.6,1917,7659,18054,4178,2973,1938,42.4,28.3
Weedpatch CDP,2206,1079,1127,30.1,31,28,165,711,1367,399,289,207,51.1,32.2
Weldon CDP,2303,1171,1132,53.9,53.7,54.2,96,390,1874,1107,914,674,49.2,16.9
Wofford Heights CDP,2213,1121,1092,59.6,59.4,59.8,82,280,1904,1310,1091,809,49.3,12.7
Woody CDP,108,59,49,63,62.5,63.8,3,19,87,67,60,47,45.4,17.6
Kings County,152486,82573,69913,32.9,33.2,32.5,10409,40551,105533,32049,23620,16146,45.8,26.6
Armona CDP,4274,2072,2202,31.2,30.7,31.7,307,1295,2806,916,652,458,51.5,30.3
Avenal city,13696,9131,4565,35,36.9,29.2,834,3247,9946,2232,1358,713,33.3,23.7
Corcoran city,22339,15449,6890,35.6,36.7,30.8,1066,4428,17283,4159,2823,1737,30.8,19.8
Grangeville CDP,508,243,265,40.2,36.8,40.7,19,133,346,180,143,86,52.2,26.2
Hanford city,57990,28429,29561,33.4,32.2,34.6,4045,16107,39440,13669,10502,7540,51,27.8
Hardwick CDP,151,60,91,32.8,32.7,33.5,8,39,101,33,25,21,60.3,25.8
Home Garden CDP,1653,832,821,31.5,31.3,31.8,121,526,1049,366,256,175,49.7,31.8
Kettleman City CDP,1242,638,604,28.4,28.3,28.5,79,416,751,208,152,100,48.6,33.5
Lemoore city,27038,13387,13651,31.2,30.3,32.2,1948,7614,18273,5410,3965,2690,50.5,28.2
Lemoore Station CDP,6568,3592,2976,22.8,22.8,22.9,960,2272,3730,77,55,37,45.3,34.6
Stratford CDP,1121,571,550,30,30.6,29.7,107,338,730,239,186,118,49.1,30.2
Lake County,68163,34509,33654,45,43.8,46,3617,14083,52102,26336,21150,15444,49.4,20.7
Clearlake city,16685,8465,8220,37.5,36.6,38.8,1080,4227,11914,5196,4070,2856,49.3,25.3
Clearlake Oaks CDP,2551,1323,1228,56.6,55.5,58.1,79,315,2193,1347,1116,860,48.1,12.3
Clearlake Riviera CDP,3410,1664,1746,44.2,43.5,44.7,182,723,2599,1296,1053,757,51.2,21.2
Cobb CDP,1295,678,617,49.8,51,49.5,59,255,1016,566,466,341,47.6,19.7
Hidden Valley Lake CDP,6235,3075,3160,43.2,42.1,44,309,1446,4589,2159,1727,1235,50.7,23.2
Kelseyville CDP,3382,1707,1675,39.4,36.7,42.3,225,819,2440,1093,809,585,49.5,24.2
Lakeport city,5026,2380,2646,47.7,44.8,50.5,247,969,3950,2117,1766,1340,52.6,19.3
Lower Lake CDP,1276,623,653,41.9,43.2,40.7,69,297,957,436,339,252,51.2,23.3
